pos=805674a0 len=172 sym=VFipdm_bpb_check_fsinfo_sector
pos=80567740 len=324 sym=VFipdm_disk_do_get_permission
pos=80567890 len=180 sym=VFipdm_disk_check_disk_handle
pos=80567950 len=372 sym=VFipdm_disk_open_disk
pos=80567ad0 len=588 sym=VFipdm_disk_close_disk
pos=80567d20 len=236 sym=VFipdm_disk_get_part_permission
pos=80567fb0 len=340 sym=VFipdm_disk_physical_read
pos=80568110 len=340 sym=VFipdm_disk_physical_write
pos=80568270 len=324 sym=VFipdm_disk_physical_erase
pos=805683c0 len=316 sym=VFipdm_disk_format
pos=80568500 len=240 sym=VFipdm_disk_get_lba_size
pos=805685f0 len=272 sym=VFipdm_disk_get_media_information
pos=80568700 len=264 sym=VFipdm_disk_check_media_insert
pos=80568810 len=264 sym=VFipdm_disk_check_data_erase
pos=80568920 len=236 sym=VFipdm_disk_set_disk
pos=80568a10 len=224 sym=VFipdm_disk_notify_media_insert
pos=80568c50 len=384 sym=VFipdm_part_convert_lsector_to_block
pos=80568dd0 len=392 sym=VFipdm_part_get_handle
pos=80568f60 len=292 sym=VFipdm_part_open_partition
pos=80569090 len=476 sym=VFipdm_part_close_partition
pos=80569270 len=472 sym=VFipdm_part_get_permission
pos=80569450 len=384 sym=VFipdm_part_release_permission
pos=805695d0 len=324 sym=VFipdm_part_format
pos=80569b40 len=420 sym=VFipdm_part_logical_erase
pos=80569e10 len=264 sym=VFipdm_part_check_media_write_protect
pos=80569f20 len=264 sym=VFipdm_part_check_media_insert
pos=8056a030 len=264 sym=VFipdm_part_check_media_detect
pos=8056a260 len=192 sym=VFipdm_part_set_change_media_state
pos=8056a320 len=28 sym=VFipdm_part_set_driver_error_code
pos=8056a340 len=28 sym=VFipdm_part_get_driver_error_code
pos=8056a360 len=276 sym=VFipdm_mbr_get_table
pos=8056a3e8 len=12 sym=Draw__Q34nw4r2dw6WindowFv
pos=8056a540 len=460 sym=VFipdm_mbr_get_epbr_part_table
pos=8056aa60 len=72 sym=VFipdm_open_disk
pos=8056aad0 len=92 sym=VFipdm_open_partition
pos=8056ab30 len=64 sym=VFipdm_close_partition
pos=8056adf0 len=256 sym=VFiPFCACHE_FlushPageIfNeeded
pos=8056aef0 len=780 sym=VFiPFCACHE_DoAllocatePage
pos=8056b200 len=516 sym=VFiPFCACHE_DoReadPage
pos=8056b410 len=600 sym=VFiPFCACHE_DoReadPageAndFlushIfNeeded
pos=8056b670 len=596 sym=VFiPFCACHE_DoReadNumSector
pos=8056b8d0 len=1060 sym=VFiPFCACHE_DoWriteNumSectorAndFreeIfNeeded
pos=8056bd00 len=20 sym=VFiPFCACHE_SetCache
pos=8056bd20 len=16 sym=VFiPFCACHE_SetFATBufferSize
pos=8056bd30 len=16 sym=VFiPFCACHE_SetDataBufferSize
pos=8056bd40 len=200 sym=VFiPFCACHE_InitCaches
pos=8056be10 len=104 sym=VFiPFCACHE_UpdateModifiedSector
pos=8056be80 len=116 sym=VFiPFCACHE_AllocateDataPage
pos=8056bf00 len=144 sym=VFiPFCACHE_FreeDataPage
pos=8056bf90 len=64 sym=VFiPFCACHE_ReadFATPage
pos=8056c0d0 len=196 sym=VFiPFCACHE_WriteFATPage
pos=8056c1a0 len=216 sym=VFiPFCACHE_WriteDataPage
pos=8056c2e0 len=136 sym=VFiPFCACHE_SearchDataCache
pos=8056c370 len=172 sym=VFiPFCACHE_FlushFATCache
